TOTAL BRUTO ,"",MES ,QUINC.,"","","","","","","","",""
"","",04 - ABRIL ,"","",ABRIL ,05 - MAYO ,"",MAYO ,06 - JUNIO ,"",JUNIO ,Total general
DEPARTAMENTO ,M U N I C I P I O ,1ª ,2ª ,"","",1ª 2ª ,"","",1ª 2ª,"","",""
"",SANTA ROSA DE RIO PRIMERO ,140.245 ,239.949 ,"",380.194 ,197.652 258.199 ,"",455.851 ,159.700 317.459 ,"",477.159 ,1.313.204
"",VILLA FONTANA ,49.500 ,84.691 ,"",134.190 ,69.762 91.132 ,"",160.894 ,56.367 112.048 ,"",168.414 ,463.499
Total RIO PRIMERO ,"",774.202 ,1.324.609 ,"",2.098.811 ,1.091.110 1.425.356 ,"",2.516.467 ,881.605 1.752.489 ,"",2.634.095 ,7.249.373
RIO SECO,"","","","","","","","","","","",""
"",SEBASTIAN EL CANO ,70.177 ,120.068 ,"",190.244 ,98.902 129.200 ,"",228.102 ,79.912 158.852 ,"",238.764 ,657.111
"",VILLA DE MARIA ,103.072 ,176.350 ,"",279.423 ,145.264 189.763 ,"",335.027 ,117.371 233.316 ,"",350.687 ,965.136
Total RIO SECO ,"",173.249 ,296.418 ,"",469.667 ,244.166 318.963 ,"",563.129 ,197.284 392.168 ,"",589.451 ,1.622.247
RIO SEGUNDO,"","","","","","","","","","","",""
"",CALCHIN ,64.143 ,109.744 ,"",173.887 ,90.399 118.091 ,"",208.490 ,73.041 145.194 ,"",218.235 ,600.611
"",CALCHIN OESTE ,47.566 ,81.382 ,"",128.948 ,67.037 87.572 ,"",154.609 ,54.165 107.671 ,"",161.836 ,445.393
"",CAPILLA DEL CARMEN ,41.948 ,71.770 ,"",113.717 ,59.118 77.228 ,"",136.347 ,47.767 94.953 ,"",142.720 ,392.784
