DEPARTAMENTO M U N I C I P I O ,"","","",07- JULIO , TOTAL JULIO ,"",08- AGOSTO , TOTAL ,09- SEPTIEMBRE , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,AGOSTO ,1° 2° ,SEPTIEMBRE 
"",LA FALDA ,"4 58.183,6 ","1.106.161,7 ","1.564.345,3 ","657.560,3 "," 934.463,9 ",""," 1.592.024,2 "," 525.888,8  1.016.906,5 ","1.542.795,3"
"",LOS COCOS ,"1 06.942,5 ","258.183,9 ","3 65.126,4 "," 153.478,0 ","218.108,8 ","","3 71.586,8 "," 122.745,2  237.351,3 ","3 60.096,5"
"",SAN ANTONIO DE ARREDONDO ,"1 66.574,0 "," 402.148,3 ","5 68.722,3 "," 239.057,9 "," 339.727,0 ","","5 78.785,0 "," 191.188,4 369.699,3 ","5 60.887,7"
"",SAN ESTEBAN ,"1 00.568,4 ","242.795,4 ","3 43.363,8 ","144.330,3 "," 205.108,8 ","","3 49.439,1 "," 115.429,2  223.204,5 ","3 38.633,7"
"",SANTA MARIA ,"2 90.767,2 "," 701.979,6 ","9 92.746,8 "," 417.293,3 "," 593.018,7 ",""," 1.010.312,0 "," 333.733,5  645.337,5 ","9 79.071,0"
"",TANTI ,"2 28.022,7 "," 550.499,8 ","7 78.522,5 "," 327.245,8 ","465.051,5 ","","7 92.297,4 ","261.717,3  506.080,5 ","7 67.797,8"
"",VALLE HERMOSO ,"2 31.384,6 ","558.616,1 ","7 90.000,7 "," 332.070,6 ","471.908,0 ","","8 03.978,6 ","265.576,0 513.541,9 ","7 79.117,8"
"",VILLA CARLOS PAZ ," 1.485.687,8 ","3.586.795,3 "," 5.072.483,1 "," 2.132.178,6 "," 3.030.054,9 ","","5.162.233,5 "," 1.705.225,8  3.297.380,1 "," 5.002.605,9"
"",VILLA GIARDINO ,"2 01.954,5 ","487.565,0 ","6 89.519,5 ","289.834,1 ","411.885,4 ","","7 01.719,6 ","231.797,0  448.223,9 ","6 80.020,9"
"",VILLA SANTA CRUZ DEL LAGO ,"1 33.832,4 ","323.102,5 ","4 56.934,9 "," 192.069,0 ","272.950,7 ","","4 65.019,7 "," 153.608,6 297.031,7 ","4 50.640,3"
"",YCHO CRUZ ,"1 31.218,2 "," 316.791,1 ","4 48.009,3 ","188.317,2 "," 267.619,0 ","","4 55.936,2 ","150.608,1  291.229,6 ","4 41.837,6"
Total PUNILLA ,"","5 .177.402,8 ","12.499.452,7 ","17.676.855,5 ","7.430.327,9 ","10.559.294,5 ","","17.989.622,3 ","5.942.460,4 11.490.883,5 ","17.433.344,0"
RIO CUARTO,"","","","","","","","","",""
"",ACHIRAS ,"1 45.880,4 ","3 52.189,1 ","4 98.069,5 "," 209.359,6 "," 297.522,5 ","","5 06.882,1 "," 167.436,9  323.771,3 ","4 91.208,2"
"",ADELIA MARIA ,"2 68.970,4 "," 649.357,1 ","9 18.327,5 "," 386.011,8 "," 548.564,2 ","","9 34.576,0 "," 308.715,8  596.961,1 ","9 05.676,9"
"",ALCIRA ,"2 32.357,4 "," 560.964,7 ","7 93.322,1 ","333.466,7 ","473.892,0 ","","8 07.358,8 "," 266.692,5 515.701,0 ","7 82.393,5"
"",ALPA CORRAL ,"1 02.679,9 ","247.893,1 ","3 50.573,0 ","147.360,6 ","209.415,3 ","","3 56.775,9 "," 117.852,8  227.890,9 ","3 45.743,6"
"",BERROTARAN ,"2 53.597,1 ","612.242,4 ","8 65.839,5 "," 363.948,9 ","517.210,5 ","","8 81.159,3 "," 291.070,8 562.841,1 ","8 53.912,0"
"",BULNES ,"1 07.977,5 ","260.682,7 ","3 68.660,2 "," 154.963,4 ","220.219,7 ","","3 75.183,2 "," 123.933,2 239.648,5 ","3 63.581,7"
"",CHAJAN ,"9 9.208,4 "," 239.512,1 ","3 38.720,6 "," 142.378,5 "," 202.335,2 ","","3 44.713,7 ","113.868,3 220.186,1 ","3 34.054,4"
