"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
CALAMUCHITA,"","","","","","","","","","",""
"",VILLA DEL ROSARIO ,116.700 ,306.450 ,423.150 ,178.106 ,318.414 ,496.521 ,163.373 ,285.842 ,449.216 ,1.368.887
Total RIO SEGUNDO ,"",950.613 ,2.496.268 ,3.446.881 ,1.450.813 ,2.593.729 ,4.044.542 ,1.330.799 ,2.328.406 ,3.659.205 ,11.150.629
SAN ALBERTO,"","","","","","","","","","",""
"",MINA CLAVERO ,78.202 ,205.356 ,283.558 ,119.351 ,213.374 ,332.725 ,109.478 ,191.547 ,301.025 ,917.308
"",NONO ,33.584 ,88.189 ,121.773 ,51.255 ,91.633 ,142.888 ,47.015 ,82.259 ,129.274 ,393.935
"",SAN PEDRO ,51.307 ,134.729 ,186.036 ,78.304 ,139.989 ,218.293 ,71.826 ,125.669 ,197.496 ,601.825
"",VILLA CURA BROCHERO ,56.858 ,149.307 ,206.165 ,86.776 ,155.136 ,241.913 ,79.598 ,139.267 ,218.865 ,666.943
"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
"",VILLA SARMIENTO ,52.615 ,138.165 ,190.781 ,80.301 ,143.560 ,223.860 ,73.658 ,128.874 ,202.533 ,617.174
Total SAN ALBERTO ,"",272.566 ,715.747 ,988.313 ,415.987 ,743.692 ,1.159.679 ,381.576 ,667.616 ,1.049.192 ,3.197.184
SAN JAVIER,"","","","","","","","","","",""
"",LA PAZ ,41.202 ,108.195 ,149.397 ,62.882 ,112.419 ,175.301 ,57.680 ,100.919 ,158.599 ,483.297
